,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in,,,,,,,1,1
214,9.299,209.13303,1-Tricosene,,,,56.06206,,,C23 H46,,,,,,,,,,,,,,,,,,,,,0.967,99.7,843,1793,498,,,2702301,420216,96267,7117034,3215945,608042,33932,7787,13565,2675531,1764369,1736319,,269297,156955,163896,127239,1182404,194677,165423,,,,,,
215,9.333,194.1008,4-Amino-dl-phenylalanine,,,,134.0601,,,C9 H12 N2 O2,,,,,,,,,,,,,,,,,,,,,0.814,73.1,605,1796,,,,617202,219137,341978,277088,147000,149416,,415,5256,621890,646060,674120,417241,466232,264314,171294,104258,160196,158713,75740,,,,,,
216,9.356,140.15651,"Tetradecane, 2,6,10-trimethyl-",,,,71.08553,,,C17 H36,,,,,,,,,,,,,,,,,,,,,0.978,99.8,893,1798,,,,2850422,1674529,600613,3086547,2204684,3032834,207061,154601,112503,10931870,5538302,6899728,2047907,3819438,1632636,730404,550427,1245467,682694,715815,,,,,,
217,9.382,219.17488,"2-Pentyl-1,3-dioxolane",,,,99.08036,,,C8 H16 O2,,,,,,,,,,,,,,,,,,,,,0.926,96.8,695,1800,738,,,30876,41010,7717,19465,26835,93791,207,,366,190994,76754,194327,187805,161285,70743,22106,5892,11220,22612,,,,,,,
218,9.386,182.05794,10-Hydroxydecyl monoacrylate,,,,110.10899,,,C13 H24 O3,,,,,,,,,,,,,,,,,,,,,0.904,98.9,541,1801,,,,,115245,,,487673,,3257,814,7640,741490,469102,628005,216183,209323,102586,27832,18123,36995,45165,,,,,,,
219,9.399,142.12326,N-Methyldodecanamide,,,,86.06003,,,C13 H27 N O,,,,,,,,,,,,,,,,,,,,,0.958,99.3,801,1802,,,,568747,953502,63820,29454,80798,365606,,,11690,533957,3110537,4125686,507999,216263,73710,31946,13250,16513,12856,3246,,,,,,
220,9.421,178.07826,Tetradecane,,,,99.1168,,,C14 H30,,,,,,,,,,,,,,,,,,,,,0.866,90.8,515,1804,,,,111430,8412,38841,192512,27918,34854,18289,11028,6223,335129,193286,161283,49317,60829,72186,39883,34846,71547,29286,43212,,,,,,
221,9.46,250.15692,2-Ethylhexyl salicylate,,,,138.03116,,,C15 H22 O3,,,,,,,,,,,,,,,,,,,,,0.968,98.9,859,1808,1,,,657263,319512,404885,701689,362481,12626955,,,4140,38641251,30747039,138362005,1680591,2909755,2176295,740683,705574,1447576,105211,175256,,,,,,
222,9.462,198.10443,Permethrine,,,,152.06207,,,C21 H20 Cl2 O3,,,,,,,,,,,,,,,,,,,,,0.933,97.6,714,1809,884,,,271911,21787,236193,132096,193154,507604,71504,42112,37370,1085393,48403,727985,33768,263332,896948,679933,57762,831255,1739581,65954,,,,,,
223,9.468,195.08101,"Acetamide, 2-methoxy-2-phenyl-N-[2-(4-chlorophenyl)ethyl]-",,,,246.23412,,,C17 H18 Cl N O2,,,,,,,,,,,,,,,,,,,,,0.784,70.2,515,1809,,,,92122,3978,3770,22983,31255,20306,1713,,291,95843,13929,73516,5028,30153,,4149,1894,9166,958,4525,,,,,,
224,9.494,248.1776,"3,5-di-tert-Butyl-4-hydroxyacetophenone",,,,205.12233,,,C16 H24 O2,,,,,,,,,,,,,,,,,,,,,0.933,93.7,790,1812,,,,1250775,136228,27284,577945,327524,72554,,,1580,198192,,183553,73292,175504,102693,19963,11105,21989,30987,27102,,,,,,
225,9.496,228.22029,1-Acetyl-N-(3-(dimethylamino)propyl)piperidine-4-carboxamide,,,,73.08413,,,C13 H25 N3 O2,,,,,,,,,,,,,,,,,,,,,0.939,99.1,714,1812,496,,,9329,7781,14677,9402,21809,8157,,,,26528,550708,,5669,20176,15200,47986,14870,23595,10308,18160,,,,,,
226,9.565,406.17197,Peak@9.565,,,,89.05967,,,,,,,,,,,,,,,,,,,,,,,,0,,,1819,,,,,7949,27353,22219,16545,46431,,241,260,188057,78914,311134,19864,34874,29649,39380,30052,54017,12099,20427,,,,,,
227,9.568,228.20891,Isopropyl myristate,,,,61.0284,,,C17 H34 O2,,,,,,,,,,,,,,,,,,,,,0.946,97.8,772,1820,7,,,1303773,488962,446505,391194,515428,,391,8598,18662,4665197,2012579,6637472,351510,716515,614291,568564,501437,1074519,219289,370273,,,,,,
228,9.577,74.03677,"2-(N-Methylamino)-3,7,11-trimethyl-1,3-dodecanediol",,,,75.03962,,,C16 H35 N O2,,,,,,,,,,,,,,,,,,,,,0.934,100,669,1821,,,,23407,5826,5797,6030,5781,23257,,198,462,,45590,77609,27501,22946,18041,8204,9762,21052,9598,7805,,,,,,
229,9.578,99.08091,"(2,2,2',2'-Tetramethyl-[4(S),4'(S)-bi[[1,3]dioxolanyl]-5(R)-carbaldehyde",,,,157.12238,,,C11 H18 O5,,,,,,,,,,,,,,,,,,,,,0.834,83,508,1821,,,,627934,221501,111476,90772,178082,360760,647,4227,12559,1334458,1202135,1630482,168206,223023,163336,141725,133949,261948,72319,104369,,,,,,
230,9.687,232.21925,"4,4'-Bis(methoxymethoxy)benzil",,,,181.03468,,,C18 H18 O6,,,,,,,,,,,,,,,,,,,,,0.712,52.4,510,1832,,,,46866,88375,26011,121062,35779,49589,3393,6932,8078,30244,313535,201136,69618,80445,54296,13561,14358,11452,35602,44260,,,,,,
231,9.736,489.05621,Peak@9.736,,,,418.99533,,,,,,,,,,,,,,,,,,,,,,,,0,,,1837,,,,408388,739972,416734,670570,238255,516872,49681,111146,84630,449506,402942,337949,1029563,1488980,1304717,381688,404997,439526,616805,1178824,,,,,,
232,9.738,238.21709,Lauryl isocyanate,,,,248.98854,,,C13 H25 N O,,,,,,,,,,,,,,,,,,,,,0.94,99,721,1837,,,,,114845,14121,83773,663066,,,1399,1309,,158880,170152,6523856,,6149034,14506,15151,19415,2313987,3321591,,,,,,
233,9.752,400.98514,4-Aza-A-homo-5a-Cholestan-4a-one,,,,401.98361,,,C27 H47 N O,,,,,,,,,,,,,,,,,,,,,0.855,85.7,559,1839,,,,256838,564736,150920,495185,85324,472776,14621,26002,23001,518285,533207,459363,1275868,1560903,1534385,127828,128033,166243,558721,1260385,,,,,,
234,9.76,370.12134,Peak@9.760,,,,456.99295,,,,,,,,,,,,,,,,,,,,,,,,0,,,1840,,,,21091,,21531,34892,7985,80161,318,4406,1609,16844,13795,13195,,203614,182716,20736,21803,24046,77124,214008,,,,,,
235,9.773,203.12836,"Sebacic acid, but-3-yn-2-yl nonyl ester",,,,125.09611,,,C23 H40 O4,,,,,,,,,,,,,,,,,,,,,0.933,99.8,670,1841,745,,,390933,26167,282033,86595,91186,1596959,342,519,3199,2749270,1383776,22800108,125676,96642,2921986,275759,258570,450445,167306,309953,,,,,,
236,9.777,369.12262,"Sebacic acid, but-3-enyl octyl ester",,,,295.10324,,,C22 H40 O4,,,,,,,,,,,,,,,,,,,,,0.817,77.3,537,1841,726,,,32398,459734,89698,843558,212382,2463468,,4786,5600,60639,54066,10058,6487214,4929999,4731789,103347,167672,126511,3561114,8215765,,,,,,
237,9.782,201.1855,3-Methylbutyl dodecanoate,,,,115.07536,,,C17 H34 O2,,,,,,,,,,,,,,,,,,,,,0.933,99.4,678,1842,,,,991988,55230,105386,,119323,1159884,,,6465,5980760,5366564,,,,965519,,84874,124196,13377,60546,,,,,,
238,9.782,279.07248,"Methyl 2-((4R,5R,6S)-6-{(1R,2R)-2-[(tert-Butyldimethylsilyl)oxy]-1-methoxy-2-phenylethyl}-2,2-dimethyl-5-[(methylsulfonyl)oxy]-1,3-dioxan-4-yl)acetate",,,,222.08408,,,C25 H42 O9 S Si,,,,,,,,,,,,,,,,,,,,,0.897,96.6,554,1842,,,,137502,3002607,101418,4399814,1227529,3249186,2509,12379,11636,289410,288143,230067,10909852,10475231,8464541,93957,105762,133527,4432615,8581117,,,,,,
240,9.787,55.0548,Isopropenyl dodecanoate,,,,183.17438,,,C15 H28 O2,,,,,,,,,,,,,,,,,,,,,0.918,98.6,617,1843,,,,57228,623,1991,,4989,447265,,,,2488611,1348635,2419495,,,244823,6026,3825,10201,,,,,,,,
241,9.791,575.20184,"(E)-5,5'-(Diazene-1,2-diyl)bis(2-hydroxybenzoic acid), tetrakis-O-TMS",,,,283.03049,,,C26 H42 N2 O6 Si4,,,,,,,,,,,,,,,,,,,,,0.92,100,601,1843,1372,,,222917,,245362,2939861,1199664,3315255,10737,45807,43457,280003,234695,187378,10110846,7580934,6641341,251320,242362,270720,4577891,5535469,,,,,,
239,9.791,575.20184,"Heptasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13-tetradecamethyl-",,,,163.06053,,,C14 H44 O6 Si7,,,,,,,,,,,,,,,,,,,,,0.902,96.9,569,1843,,,,3114009,95427978,2344333,127276453,35141230,49976288,167454,351514,305817,5666725,5822963,5303599,174025141,162998790,158113819,1628237,1643795,1980165,61418842,75015501,,,,,,
242,9.795,415.03717,(R)-3-Hydroxy-3-phenyl-1-tosylpiperidin-4-one,,,,345.97565,,,C18 H19 N O4 S,,,,,,,,,,,,,,,,,,,,,0.544,1.4,692,1843,,,,127030,460667,104441,675599,253484,985648,9054,24589,22177,150400,134045,68152,4538035,4364525,3819603,119953,116671,122400,2138635,2231325,,,,,,
243,9.818,303.23553,"3-Ureidopropionic acid, N-(tert-butyldimethylsilyl)-, tert-butyldimethylsilyl ester",,,,45.01552,,,C16 H36 N2 O3 Si2,,,,,,,,,,,,,,,,,,,,,0.901,98.3,539,1846,272,,,142442,5463244,130769,8631055,2237786,,4709,17169,18476,1477100,2656802,334318,14108959,14586149,13887499,120018,125667,,5693066,7536810,,,,,,
244,9.839,439.1644,"1,3,5,7,9,11-hexasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11-dodecamethyl-1,11-di(tert.butyl)-",,,,281.14194,,,C20 H54 O5 Si6,,,,,,,,,,,,,,,,,,,,,0.903,97,574,1847,,,,,1108510,190157,5455789,1550248,3036414,,,228,,,,7892877,7712577,6619686,15049,,425,3115955,4169304,,,,,,
245,9.871,194.08018,Caffeine,,,,55.04163,,,C8 H10 N4 O2,,,,,,,,,,,,,,,,,,,,,0.967,98.9,858,1851,14,,,654601,109472,701585,777954,186663,3651642,,17134,65134,1721627,3511959,1825766,499025,742522,1621539,376792,9421106,5491339,7132366,6743422,,,,,,
246,9.898,258.19839,Hexamethyl-pyranoindane,,,,213.16382,,,C18 H26 O,,,,,,,,,,,,,,,,,,,,,0.966,99.6,837,1854,,,,64234,21925,18771,309721,70136,709403,,1009,1663,842269,538313,933621,798214,929309,793192,62103,37255,199113,358267,618943,,,,,,
248,9.917,487.07678,Peak@9.922,,,,594.93658,,,,,,,,,,,,,,,,,,,,,,,,0,,,1856,,,,26655,19267,,6395,13937,36919,1913,,,,30555,16210,32729,54232,26566,14470,9102,10024,9035,8016,,,,,,
247,9.921,663.21789,Peak@9.917,,,,397.02618,,,,,,,,,,,,,,,,,,,,,,,,0,,,1856,,,,,8208,,45330,8274,39522,552,1789,,,975,,140237,148685,104258,1145,631,1265,40529,53448,,,,,,
249,9.923,345.04654,"2-Chloro-6-(hydroxymethyl)-4-iodo-3-pyridinol, Ac derivative",,,,327.03543,,,C8 H7 Cl I N O3,,,,,,,,,,,,,,,,,,,,,0.374,1.4,512,1857,118,,,,3792,3870,68273,5863,221759,,,688,,7132,,4001,38451,22012,3619,3125,5353,448126,1195244,,,,,,
250,9.959,258.19839,"1,2-Benzenedicarboxylic acid, butyl 2-methylpropyl ester",,,,76.03075,,,C16 H22 O4,,,,,,,,,,,,,,,,,,,,,0.956,96.5,849,1860,,,,277948,269164,132592,588693,244881,246823,142151,155307,70793,521833,330494,453573,247622,615283,484783,113782,98512,,98733,165724,,,,,,
251,9.967,323.13498,"1,2-Benzenedicarbonitrile, 4-chloro-3,6-bis[(trimethylsilyl)oxy]-",,,,209.13255,,,C14 H19 Cl N2 O2 Si2,,,,,,,,,,,,,,,,,,,,,0.775,68,517,1861,,,,23150,6935,5462,60940,15512,18636,675,,,24198,24573,31575,3469,58032,33104,17102,6130,23049,,10443,,,,,,
252,9.99,541.17792,Peak@9.994,,,,223.14816,,,,,,,,,,,,,,,,,,,,,,,,0,,,1864,,,,55314,28538,11544,,49569,47995,,318,564,55416,43245,72842,,149118,109364,16916,9032,18621,,37120,,,,,,
253,9.995,382.97455,2-Methylthio-5-( 1'-phenylsulfonylpyrrol-3'-ylcarbonyl)-pyrimidine,,,,549.02216,,,C16 H13 N3 O3 S2,,,,,,,,,,,,,,,,,,,,,0.686,45.8,515,1864,,,,6775,10188,12707,5437,5956,3338,1459,2233,,4990,1095,8619,15909,32275,29814,9552,8785,3946,3812,6940,,,,,,
254,10.07,385.11755,"Propanedioic acid, hydroxy(2-methoxy-4,6-dimethylphenyl)-, diethyl ester",,,,182.07069,,,C16 H22 O6,,,,,,,,,,,,,,,,,,,,,0.674,43.4,500,1872,,,,1087,7197,3221,49021,6958,15080,,,,1763,29225,1233,,10519,4045,572,1205,615,67829,75637,,,,,,
255,10.074,180.0647,Theobromine,,,,109.06343,,,C7 H8 N4 O2,,,,,,,,,,,,,,,,,,,,,0.965,98.4,855,1872,2,,,374241,58645,24837,96386,17355,169674,,1408,1538,634522,6427747,1139888,104455,145724,65384,28124,98114,105573,162232,15825,,,,,,
256,10.095,203.0861,Peak@10.091,,,,58.04128,,,,,,,,,,,,,,,,,,,,,,,,0,,,1874,,,,127408,29432,17118,82396,34140,49476,,,1172,202763,147108,166833,105919,108830,34193,24718,13728,22104,23344,33112,,,,,,
257,10.101,419.13483,Peak@10.101,,,,139.039,,,,,,,,,,,,,,,,,,,,,,,,0,,,1875,,,,5358,4075,,18104,5146,,,,,26364,,32965,45327,79241,48551,8683,8212,15790,,26213,,,,,,
258,10.118,359.02908,Peak@10.118,,,,204.08067,,,,,,,,,,,,,,,,,,,,,,,,0,,,1877,,,,10814,9020,79076,14980,11268,22848,,368,,11536,13085,26428,25018,29574,48498,113396,234189,82241,15747,40995,,,,,,
259,10.13,72.08132,"Fumaric acid, 2-dimethylaminoethyl heptyl ester",,,,88.07567,,,C15 H27 N O4,,,,,,,,,,,,,,,,,,,,,0.97,100,851,1878,,,,,1843,15269,,912,11007,,,,,4822,80781,,,,257,,,,,,,,,,
260,10.148,153.16432,(Z)-2-nonadecene,,,,83.08546,,,C19 H38,,,,,,,,,,,,,,,,,,,,,0.967,99.7,840,1880,,,,1270955,,1839936,1255803,,51338798,,,38275,15529940,3184289,7429239,240184154,208289600,245336765,4905237,3867432,8734547,1518750,2261779,,,,,,
261,10.152,341.01843,Peak@10.152,,,,196.21855,,,,,,,,,,,,,,,,,,,,,,,,0,,,1880,,,,2434,,3630,1061,,115752,,,,31478,3960,10174,541081,537102,557598,9840,8647,17445,3000,3410,,,,,,
263,10.16,324.98718,"rac-(1R,2S,3R,6R,7S,8R)-7,8-dichloro-3-(4-methylbenzenesulfonamido)-bicyclo[4.2.0]oct-4-en-2-yl acetate",,,,324.98663,,,C17 H19 Cl2 N O4 S,,,,,,,,,,,,,,,,,,,,,0.914,100,571,1882,,,,,,,,,166504,,,,,,,,740843,649255,,,,101975,133970,,,,,,
262,10.161,183.1749,Peak@10.161,,,,127.06917,,,,,,,,,,,,,,,,,,,,,,,,0,,,1881,,,,23635,,17723,20916,6688,21974,,,7848,90717,76264,,37925,52556,40329,,13656,31499,,4932,,,,,,
264,10.174,339.03918,Peak@10.174,,,,501.12811,,,,,,,,,,,,,,,,,,,,,,,,0,,,1883,,,,,30218,,85323,17018,141731,,,,,,,611342,564179,426623,,,,165848,207164,,,,,,
265,10.177,325.98639,Peak@10.177,,,,93.06554,,,,,,,,,,,,,,,,,,,,,,,,0,,,1883,,,,13618,8024,1899,10003,4054,13702,1394,2002,496,18773,5746,8862,,70472,,4275,4134,4913,,,,,,,,
266,10.266,231.08726,"Disiloxane, 1,3-diethoxy-1,1,3,3-tetramethyl-",,,,164.06018,,,C8 H22 O3 Si2,,,,,,,,,,,,,,,,,,,,,0.852,87.7,505,1892,,,,19972,110538,3645,168136,12510,17974,426,,299,35881,42468,36654,153048,129926,104409,7045,9050,2688,19869,25162,,,,,,
267,10.299,262.15683,Homosalate,,,,229.1011,,,C16 H22 O3,,,,,,,,,,,,,,,,,,,,,0.935,97,733,1896,1,,,66777,13494,22030,33620,92391,65508,37745,33433,28588,56720,38907,43157,,29816,37741,16249,15600,22607,11311,16460,,,,,,
268,10.3,181.00185,3-Methylbenzo[d]thiazole-2(3H)-thione,,,,148.02148,,,C8 H7 N S2,,,,,,,,,,,,,,,,,,,,,0.958,95.5,881,1896,,,,1203300,75993,308805,250598,267376,2716568,,,6380,7406013,587078,7366112,28776,905944,2294890,2247866,107882,1608945,3669934,38311,,,,,,
269,10.318,95.08602,"Cyclohexane, (3-cyclopentylpropyl)-",,,,166.15897,,,C14 H26,,,,,,,,,,,,,,,,,,,,,0.916,96.2,655,1897,,,,20202,25683,18564,35713,16320,25551,,810,1800,38768,34533,43464,23001,55540,51212,19765,12189,18152,16125,18530,,,,,,
271,10.32,236.12871,"Oxirane, hexadecyl-",,,,96.08072,,,C18 H36 O,,,,,,,,,,,,,,,,,,,,,0.858,79.2,708,1898,2,,,89685,117506,79434,197219,53007,100124,2064,12535,14504,157281,141117,160604,119800,261588,233766,85301,54409,91615,75065,83263,,,,,,
270,10.322,236.21399,"Sulfurous acid, decyl 2-ethylhexyl ester",,,,110.07261,,,C18 H38 O3 S,,,,,,,,,,,,,,,,,,,,,0.9,96.7,568,1898,,,,77475,41131,13928,30010,19219,109891,509,1105,2641,329460,264335,229413,281611,188531,174970,75039,54257,139441,151343,63395,,,,,,
272,10.343,256.21905,"a C5 - octahydro - phenanthrene,e.g. an isomer of 19 - nor - abieta - 8,11,13 - triene",,,,241.19505,,,C19 H28,,,,,,,,,,,,,,,,,,,,,0.939,94.6,801,1900,,,,88045,8927,34336,40829,33701,192520,540,1432,703,335404,18665,763310,10631,105560,174398,334382,14034,614103,264366,8500,,,,,,
273,10.396,223.02786,"Phthalic acid, 2-(methylthio)phenyl pentyl ester",,,,171.0804,,,C20 H22 O4 S,,,,,,,,,,,,,,,,,,,,,0.809,75.9,525,1907,816,,,193504,67343,24189,101943,108069,53240,1836,1177,2922,70929,55142,73681,,,71644,7541,6384,14691,11683,14452,,,,,,
274,10.4,231.1749,"1,4-Methano-2H-cyclopent[d]oxepin-2,5(4H)-dione, 6-[(dimethylamino)methyl]hexahydro-8a-hydroxy-5a-methyl-9-(1-methylethyl)-, [1R-(1a,4a,5aa,6ﬂ,8aa,9S*)]-",,,,162.1039,,,C17 H27 N O4,,,,,,,,,,,,,,,,,,,,,0.915,98.2,611,1907,,,,185345,66744,26572,112189,48074,24540,532,,1055,51724,43406,56265,37551,55959,51398,15042,6351,18786,18843,13297,,,,,,
275,10.404,276.17248,"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",,,,175.11174,,,C17 H24 O3,,,,,,,,,,,,,,,,,,,,,0.969,99.6,854,1907,16,,,9592949,3127145,1269783,5139530,2621565,1160089,66346,62958,107078,2894437,2298766,2872128,1652146,2814194,2405920,591703,289165,863312,929611,812060,,,,,,
276,10.409,381.15872,Peak@10.409,,,,245.15355,,,,,,,,,,,,,,,,,,,,,,,,0,,,1908,,,,293142,133429,27932,59045,425266,161638,10623,4564,12746,128937,117408,94169,43650,42767,28478,12591,4769,15769,,,,,,,,
277,10.43,254.13054,"9,9-Bis(methoxymethyl)-9H-fluorene",,,,194.07257,,,C17 H18 O2,,,,,,,,,,,,,,,,,,,,,0.97,98.8,875,1910,7,,,17041060,42795,33334,138403,3762326,114756,,3379,7234,256549,142378,147159,45418,120537,96230,28922,20423,44003,,43567,,,,,,
278,10.443,400.98517,(E)-ﬂ-Farnesene,,,,106.07324,,,C15 H24,,,,,,,,,,,,,,,,,,,,,0.844,81.7,588,1912,455,,,290607,95405,31212,172729,89429,79072,5324,822,2253,125868,75760,177753,94343,156885,140978,34045,22878,95132,96572,90535,,,,,,
279,10.448,457.08414,Peak@10.444,,,,238.07896,,,,,,,,,,,,,,,,,,,,,,,,0,,,1912,,,,13879,45083,,321327,75182,111221,636,2202,1213,28350,33174,28618,110543,119490,113470,11625,13032,13786,278122,425246,,,,,,
281,10.453,154.07385,"Pregn-5-ene-3,20-diol, (3ﬂ,20S)-, 2TMS derivative",,,,311.09811,,,C27 H50 O2 Si2,,,,,,,,,,,,,,,,,,,,,0.819,79.4,504,1914,,,,30293,53460,22681,92097,21057,46123,979,2402,3325,40911,,43101,142027,148275,146877,14849,18707,17657,122306,276690,,,,,,
280,10.461,293.12451,"1,7-Di(2-methylbutyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",,,,223.06369,,,C16 H40 O4 Si3,,,,,,,,,,,,,,,,,,,,,0.892,95.2,555,1914,397,,,3190,891250,1245187,2754457,194238,119974,,4497,,1054577,959602,1135096,894043,871494,608550,812880,876278,4880,303461,432564,,,,,,
282,10.485,277.09293,Peak@10.485,,,,131.04916,,,,,,,,,,,,,,,,,,,,,,,,0,,,1917,,,,151983,80360,31554,44127,81536,82373,1961,3312,5630,135966,117223,122723,108709,,68457,41402,21075,26906,25918,28988,,,,,,
283,10.517,99.06829,"Hexanamide, N-allyl-",,,,270.99316,,,C9 H17 N O,,,,,,,,,,,,,,,,,,,,,0.928,96.7,703,1921,,,,141372,106432,5745,296597,98484,143390,,,852,,,109981,96988,,594217,66073,54430,198314,18931,141847,,,,,,
284,10.528,327.98303,"Thioglycolic acid, tert-butyldimethylsilyl ester",,,,240.09843,,,C8 H18 O2 S Si,,,,,,,,,,,,,,,,,,,,,0.839,77.2,650,1922,725,,,868841,1005364,878928,2318820,1245562,1722918,4836,5657,5596,849129,888596,828284,803864,77781,3154359,697443,839967,916229,500057,1187428,,,,,,
285,10.536,532.99152,"1,3,5,7,9,11-Hexaethyl-5,9-dimethoxytricyclo[5.5.1.1(3,11)]hexasiloxane",,,,532.99097,,,C14 H36 O10 Si6,,,,,,,,,,,,,,,,,,,,,0.787,68,577,1923,,,,7425586,8316778,8485707,24974009,11377751,15033949,20950,25433,20162,8984393,8324715,8649736,6439132,40798162,32543752,6218019,7036726,8948609,3778885,14190556,,,,,,
286,10.538,532.99158,"Cyclodecasiloxane, eicosamethyl-",,,,147.06567,,,C20 H60 O10 Si10,,,,,,,,,,,,,,,,,,,,,0.949,98.6,772,1923,112,,,85221315,97873088,101649730,289203035,127335751,166796213,51475,63551,48633,102580101,97556198,102754908,79624537,488104473,392389107,73049821,82567940,112795615,45729120,177937622,,,,,,
287,10.54,532.9917,"4-[3,5-dicyano-6-mercapto-4-(4-methoxyphenyl)-2-oxopyridin-1(2H)-yl]-N-(3,4-dimethylisoxazol-5-yl)benzenesulfonamide",,,,533.99078,,,C25 H19 N5 O5 S2,,,,,,,,,,,,,,,,,,,,,0.692,46.6,527,1923,,,,3263211,3563418,3730417,10538083,4699392,7027347,5119,9227,6771,4188980,3793658,3620468,2956430,17666546,14196797,2748214,2955869,3834130,1702900,6449941,,,,,,
288,10.596,457.1207,Peak@10.596,,,,223.06369,,,,,,,,,,,,,,,,,,,,,,,,0,,,1930,,,,993246,,1245187,,,,4055,4497,4196,1054577,959602,1135096,840381,750979,656003,812880,876278,1100588,,,,,,,,
289,10.6,292.20383,"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",,,,277.17978,,,C18 H28 O3,,,,,,,,,,,,,,,,,,,,,0.956,98,818,1930,13,,,5761700,160214,105916,1296293,1220555,304921,48231,83190,61829,1211135,1407015,1002407,297523,540055,367258,69631,72195,85426,90189,96784,,,,,,
290,10.638,153.16438,1-Tricosene,,,,97.01063,,,C23 H46,,,,,,,,,,,,,,,,,,,,,0.957,98.4,815,1935,356,,,46207,72433,14286,92123,47085,52490,,1912,,128253,56178,59128,48964,124441,115571,19525,15641,23883,21544,37243,,,,,,
291,10.64,224.20148,N-(2-hydroxyethyl)tetradecanamide,,,,154.12271,,,C16 H33 N O2,,,,,,,,,,,,,,,,,,,,,0.968,98.7,863,1935,,,,186688,14713,3035,3213,14346,112932,,,,1554297,1737665,1120922,14003,5473,17877,4020,,,9292,2058,,,,,,
292,10.665,213.18547,1-Cyclopropyl-4-methyl-3-[(trimethylsilyl)oxy]pentanone,,,,199.16927,,,C12 H24 O2 Si,,,,,,,,,,,,,,,,,,,,,0.755,74.9,525,1938,,,,,,,134799,,367268,408,,,1751190,608669,1552360,1493717,601594,249632,,,182755,,,,,,,,
294,10.67,171.13855,n-Decanoic acid,,,,181.15868,,,C10 H20 O2,,,,,,,,,,,,,,,,,,,,,0.903,92.1,675,1939,566,,,,,,4559,,84570,,,,718644,201961,588088,409743,116878,45339,,,15810,3951,429,,,,,,
293,10.67,185.15423,"9ﬂ-Acetoxy-3a-hydroxyeudesma-4,11(12)-diene",,,,200.17268,,,C17 H26 O3,,,,,,,,,,,,,,,,,,,,,0.9,95.3,594,1938,,,,,,,26552,,46428,,,448,231240,70847,188894,170884,71843,,,,28670,12695,,,,,,,
295,10.683,254.2245,"6-Pentadecenoic acid, 13-methyl-, (6Z)-",,,,133.10124,,,C16 H30 O2,,,,,,,,,,,,,,,,,,,,,0.965,100,826,1939,18,,,,,,112042,,633198,12172,13371,11382,9185032,1513074,7710098,3596752,,338841,,19601,239816,,44373,,,,,,
296,10.686,577.12726,Peak@10.686,,,,190.17165,,,,,,,,,,,,,,,,,,,,,,,,0,,,1940,,,,20329,65039,17530,99987,38035,135563,,,1202,123631,23285,300028,99899,621214,401031,87133,8587,94857,65608,24080,,,,,,
297,10.695,295.10376,Peak@10.695,,,,190.07797,,,,,,,,,,,,,,,,,,,,,,,,0,,,1941,,,,69217,7725,27590,26114,,74002,12435,12096,11291,48906,27417,93444,,20518,36046,71050,10720,114231,,17522,,,,,,
298,10.762,254.20344,"1-(Hydroxymethyl)-7-isopropyl-1,4a-dimethyl-1,2,3,4,4a,9,10,10a-octahydrophenanthren-9-ol",,,,128.06209,,,C20 H30 O2,,,,,,,,,,,,,,,,,,,,,0.92,98.6,629,1949,543,,,90497,283998,290883,501251,123045,166021,,,8454,158374,50202,263162,189973,151137,219104,89045,46586,218357,133329,200608,,,,,,
299,10.768,263.09506,"1,3-Dioxolane-4-methanol, 2-pentadecyl-, acetate, trans-",,,,89.05969,,,C21 H40 O4,,,,,,,,,,,,,,,,,,,,,0.785,69.1,542,1950,,,,,2752419,153060,1901255,365828,143707,,,252,,,124305,861050,963854,953014,29653,,3125,163951,200155,,,,,,
300,10.776,319.13962,"1,7-Di(2-methylbutyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",,,,71.04916,,,C16 H40 O4 Si3,,,,,,,,,,,,,,,,,,,,,0.894,96.4,541,1951,434,,,3544237,22120123,2686435,13479512,2921907,1695547,,,,6299179,2048607,5378353,12276044,13662403,9689316,647187,,451544,1587468,2347399,,,,,,
301,10.793,179.99415,"Benzothiazole, 2-(2-hydroxyethylthio)-",,,,52.02918,,,C9 H9 N O S2,,,,,,,,,,,,,,,,,,,,,0.936,96.5,752,1953,,,,29762,10520,23407,24928,19062,16100,,306,7349,,19249,,8714,26864,,24513,19924,32218,24309,15186,,,,,,
302,10.796,153.04878,Vertipyronol,,,,81.06368,,,C9 H12 O4,,,,,,,,,,,,,,,,,,,,,0.557,0.1,785,1953,,,,686326,437024,706870,769782,609646,629150,,199,64655,860244,811026,859365,701826,681676,566939,565145,474348,653586,417792,400459,,,,,,
