"Metabolite_name","Type","Alignment_ID","Average_Rt(min)","Average_Mz","Adduct_type","Post_curation_result","Fill_percent","MS.MS_assigned","Reference_RT","Reference_m.z","Formula","Ontology","Annotation_tag_(VS1.0)","RT_matched","m.z_matched","MS.MS_matched","Comment","Manually_modified_for_quantification","Manually_modified_for_annotation","Isotope_tracking_parent_ID","Isotope_tracking_weight_number","RT_similarity","m.z_similarity","Simple_dot_product","Weighted_dot_product","Reverse_dot_product","Matched_peaks_count","Matched_peaks_percentage","Total_score","S.N_average","Spectrum_reference_file_name","MS1_isotopic_spectrum","MS.MS_spectrum","Blank_1_1","Blank_1","Blank_2_1","Blank_2","Sample.Avg","Sample.Std","Isotope_tracking_weight_number2","HRF_Score","SI","P12_B_001","P12_D1_001","P12_D2_001","P12_D3_001","P14_B_001","P14_D1_001","P14_D2_001","P14_D3_001","P15_B_001","P15_D1_001","P15_D2_001","P15_D3_001","P16_B_001","P16_D1_001","P16_D2_001","P16_D3_001","QCB_001","QCB_002","QCP_001","QCP_002","Spk1_001","Spk2_002","QC_Pooled_Avg","QC_Blank_Avg","Solvent_Blank_Avg","LOD_pre_solv_sub","QC_Pool_Blank_Sub","QC_Pool_Blank_Ratio","SMILES","INCHIKEY"
"6,6'-Methylenebis(2,4-di-tert-butylphenol)","EI","673","14.811",424.33395,NA,NA,NA,NA,NA,"203.14305","C29 H44 O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.92","2565","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"88.6","826",0.00174232851215281,0.0171428124108901,0.000577564636447712,0.0152190162646916,4.18579797594671e-05,0.000311246158548071,0.00472503358438038,0.0237183341448022,NA,0.0181541563762102,0.00125961151110496,0.0164839379429565,NA,0.0511207150352886,NA,0.00323424611307085,NA,0.00048578868648725,NA,0.00954126108056193,0,0,0.00954126108056193,0.00048578868648725,0,8.37159595189342e-06,0.00905547239407468,0.0509145156374486,"CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)O)CC2=C(C(=CC(=C2)C(C)(C)C)C(C)(C)C)O","LXWZXEJDKYWBOW-UHFFFAOYSA-N"
"6b,7,8,9,10,10a-Hexahydrofluoranthene","EI","178","8.559",178.07805,NA,NA,NA,NA,NA,"153.06985","C16 H16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.907","1725",NA,NA,NA,3526,NA,NA,NA,NA,NA,NA,"98.6","564",0.0185350096441988,0.122342199453262,0.00588046660008526,0.0770182007470251,0.000896614906328942,0.00169053773268264,0.026105427600586,0.106437029004039,0.028273377965142,0.0903998266993753,0.00618317991708281,0.105223935682445,0.0174827776316939,0.203949055329391,NA,0.0048620795507145,NA,0.00969763567870542,NA,0.0570262211579701,0,0.000635076269772287,0.0570262211579701,0.00969763567870542,0.000635076269772287,0.000179322981265788,0.0473285854792647,0.170055730184921,"C1CCC2C(C1)C3=CC=CC4=C3C2=CC=C4","AZHLTIOZVGMCDZ-UHFFFAOYSA-N"
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione","EI","275","10.404",276.17248,NA,NA,NA,NA,NA,"175.11174","C17 H24 O3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.969","1907","16",NA,NA,66346,NA,NA,NA,NA,NA,NA,"99.6","854",0.230952999285999,0.0738043178900843,0.0590581357176443,0.065573099789043,0.0804523491794215,0.0420255063632364,0.0855320920789491,0.0678166815247264,0.0402543176170951,0.0185604002928244,0.0101648079314784,0.0259995604861444,0.169651608698497,0.0263616035310519,NA,0.0293338012908953,NA,0.0657677451916416,NA,0.0339926234047804,0,0.00590096293081196,0.0339926234047804,0.0657677451916416,0.00590096293081196,0.00203296158629567,0,1.93476521092493,"CC(C)(C)C1=CC2(CCC(=O)O2)C=C(C1=O)C(C)(C)C","ZTMZUYHXZPUDRF-UHFFFAOYSA-N"
"8,11-Heptadecadienal, (8Z,11Z)-","EI","308","10.849",150.14082,NA,NA,NA,NA,NA,"79.05421","C17 H30 O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.908","1959","73",NA,NA,7899,NA,NA,NA,NA,NA,NA,"96.8","602",0.270036218139337,0.612165077729278,0.274562682526585,0.505006187158108,0.249360102887789,0.398690888889369,0.338392660673146,0.246303156227347,0.268943590575963,0.0788826814871407,0.0410628501606108,0.0705807332051212,0.456714748040691,0.0801050345473007,NA,0.0709813259357893,NA,0.25397004431881,NA,0.186659833110782,0,0.00168242306836846,0.186659833110782,0.25397004431881,0.00168242306836846,0.00821257003212215,0,1.36060361828396,"CCCCCC=CCC=CCCCCCCC=O","JEBIMSVVDVTZIY-HZJYTTRNSA-N"
"9-Octadecenoic acid, (E)-","EI","543","13.41",220.21907,NA,NA,NA,NA,NA,"151.11174","C18 H34 O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.956","2319",NA,NA,NA,2067,NA,NA,NA,NA,NA,NA,"99.8","781",0.00179483671285759,0.00318220955175899,0.00135536675238804,0.0020834056309988,0.00594203222935806,0.00107916134982036,0.00875458176049018,0.00660045121860848,0.000631530160074715,0.000306494425854165,0.00032326033142972,0.000549497725770278,0.00760897630186013,0.000173180300969044,NA,0.00161800806273155,NA,0.00196540709902244,NA,0.00209176313799809,0,0.000132922940184897,0.00209176313799809,0.00196540709902244,0.000132922940184897,3.46360601938088e-05,0.00012635603897565,0.939593524390827,"CCCCCCCCC=CCCCCCCCC(=O)O","ZQPPMHVWECSIRJ-MDZDMXLPSA-N"
"9,9-Bis(methoxymethyl)-9H-fluorene","EI","277","10.43",254.13054,NA,NA,NA,NA,NA,"194.07257","C17 H18 O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.97","1910","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"98.8","875",0.410268408391692,0.00654166041630315,0.00365786654544515,0.00335976383777317,0.00110099093042802,0.0011552940527081,0.003663493626566,0.00271247558652176,0.0010567454623729,0.000907218481686025,0.000717914935710002,0.00132519721731171,0.00456856786490166,NA,NA,0.0015737577529252,NA,0.0943862531334863,NA,0.00336255019351014,0,0.000398658602528005,0.00336255019351014,0.0943862531334863,0.000398658602528005,0.000143582987142,0,28.069842144113,"COCC1(C2=CC=CC=C2C3=CC=CC=C31)COC","ZWINORFLMHROGF-UHFFFAOYSA-N"
"Acryloylaminomethyl (3,5-di-tert-butyl-4-hydroxy)benzyl ether","EI","202","8.968",221.1542,NA,NA,NA,NA,NA,"161.09607","C19 H29 N O3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.927","1763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100","632",0.0494393238850512,NA,0.000524794841364593,NA,0.000644566579529004,0.000842725174296958,0.00351663414604495,0.00159126451507755,0.000287027461940488,0.000582875797893981,0.000421967922844972,0.000492548246463493,0.0126116147246504,0.000863377672065419,NA,0.000651220069541981,NA,0.0222791963854953,NA,0.00146634685187553,0,0,0.00146634685187553,0.0222791963854953,0,5.74054923880976e-05,0,15.19367423676,"CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)COCNC(=O)C=C","QLARJGZMKICHSE-UHFFFAOYSA-N"
"Adipic acid, butyl pent-4-en-2-yl ester","EI","426","12.124",185.15423,NA,NA,NA,NA,NA,"129.09106","C15 H26 O4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.903","2124","355",NA,NA,9132,NA,NA,NA,NA,NA,NA,"98.1","554",0.0687211007779712,0.124868175020582,0.152559327354161,0.0969837490068584,0.036355983722983,NA,0.0593192552473695,0.0366338671251144,0.0508899309599728,0.0278560490631986,0.0108882417745431,0.0207941190793435,0.129366229917965,0.022914643464949,NA,0.0173537072114856,NA,0.0532542711660707,NA,0.0325282397693203,0,0.00349650156961492,0.0325282397693203,0.0532542711660707,0.00349650156961492,0.00217764835490863,0,1.63717039543894,"CCCCOC(=O)CCCCC(=O)OC(C)CC=C","FORLKMRJCQLQRG-UHFFFAOYSA-N"
"AM3102","EI","627","14.266",430.08844,NA,NA,NA,NA,NA,"503.10739","C21 H41 N O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.911","2465","237",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99.3","568",0.196226083218781,0.222534895514958,0.228538763268174,0.201674665071552,0.106290917332934,0.263647346604877,2.59310350067777,1.57091917237107,0.86475778927353,0.573475255319487,0.700815005522423,NA,1.34262248728437,0.247750626945584,NA,1.24233676747044,NA,0.37222762837607,NA,0.810097841724848,0,0.00140539005828991,0.810097841724848,0.37222762837607,0.00140539005828991,0.0212581834665868,0.437870213348778,0.459484779744047,"CCCCCCCCC=CCCCCCCCC(=O)NC(C)CO","IPVYNYWIRWMRHH-JPMGXVIASA-N"
"Benzene, undecyl-","EI","212","9.203",232.21905,NA,NA,NA,NA,NA,"232.21851","C17 H28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.91","1783","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"89","769",0.0079731572107326,0.00560244210021496,0.00443574573508813,0.00678849964840504,5.52103408505325e-05,0.000257090954923615,0.0007045729464899,0.000414975221706051,0.000266136021978175,0.000361356645772181,0.000326951320424949,0.000363440674920296,0.000698705056945106,0.000194930635150026,NA,0.000344177103538717,NA,0.00222495934806175,NA,0.00150956691475178,0,0.000163398224563939,0.00150956691475178,0.00222495934806175,0.000163398224563939,1.10420681701065e-05,0,1.47390574496501,"CCCCCCCCCCCC1=CC=CC=C1","XBEADGFTLHRJRB-UHFFFAOYSA-N"
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester","EI","289","10.6",292.20383,NA,NA,NA,NA,NA,"277.17978","C18 H28 O3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.956","1930","13",NA,NA,48231,NA,NA,NA,NA,NA,NA,"98","818",0.138714580468023,0.0308823417292576,0.036147951912792,0.0228857955635108,0.00412184042359144,0.00756806888114561,0.016413948003477,0.0103520561046951,0.00335772041737229,0.00218416880223635,0.00253781857629063,0.00257269498638889,0.0427895532849503,0.00255755005143231,NA,0.00349609957901881,NA,0.030620316578984,NA,0.00893471511341721,0,0.00340733518602488,0.00893471511341721,0.030620316578984,0.00340733518602488,0.000436833760447269,0,3.42711728245276,"CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)OC","PXMJCECEFTYEKE-UHFFFAOYSA-N"
"Benzenesulfonamide, N-(adamantan-1-yl)methyl-2-methyl-5-nitro-","EI","195","8.859",208.1053,NA,NA,NA,NA,NA,"136.08382","C18 H24 N2 O4 S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.926","1753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96.8","693",0.0012985968995027,0.00664090127220301,0.0011094759496906,0.00440066757381211,0.000320739664204841,0.000406202182564085,0.00205858574806548,0.00568004733908344,0.00211016224311296,0.00524236899143415,0.00058162956109571,0.00576228745248174,NA,0.010509466556465,NA,0.000804560939034199,NA,0.000877023687818001,NA,0.0031592840401728,0,8.77886582564434e-05,0.0031592840401728,0.000877023687818001,8.77886582564434e-05,6.41479328409682e-05,0.0022822603523548,0.277602037887683,"CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)NCC23CC4CC(C2)CC(C4)C3","HURMJVKJXXXVEX-UHFFFAOYSA-N"
"benzoic acid decyl ester","EI","485","12.694",171.1174,NA,NA,NA,NA,NA,"105.03347","C17 H26 O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.912","2207",NA,NA,NA,8365,NA,NA,NA,NA,NA,NA,"90.7","743",0.00334766864190753,0.015862753262116,0.0066142596318107,0.0163280244016036,0.00137176858068518,0.0203827569729912,0.0224423594774818,0.0190665075731005,0.0012605241817625,0.0123879457194639,0.00669081393689323,0.00768558972480813,NA,0.00310953213074497,NA,0.00472423532032998,NA,NA,NA,0.0123239591898292,0,0.000801285054016753,0.0123239591898292,0,0.000801285054016753,0.0002521048363525,0.0123239591898292,0,"CCCCCCCCCCOC(=O)C1=CC=CC=C1","CUSUFTNOPPMGBK-UHFFFAOYSA-N"
"Benzoic acid, 2-[[[4-[(acetylamino)sulfonyl]phenyl]amino]carbonyl]-","EI","31","4.772",199.04578,NA,NA,NA,NA,NA,"107.04447","C16 H14 N2 O6 S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.929",NA,NA,NA,NA,106424,NA,NA,NA,NA,NA,NA,"94.7","749",NA,0.0113606046287394,0.00955873198549925,0.0118166044145716,0.0109272738826531,0.00886189240258963,0.00778382600555586,0.00983349210838165,0.0138539095524286,0.0119956604580032,0.0160495450240899,0.0109360467586847,0.0095679713892377,0.0137848343512131,NA,0.0141016887290885,NA,0.00203765825669045,NA,0.00643539410793043,0,0.0110222435408379,0.00643539410793043,0.00203765825669045,0.0110222435408379,0.00040753165133809,0.00439773585123998,0.316633017732265,"CC(=O)NS(=O)(=O)C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)O","SNWQKAWITMVCQW-UHFFFAOYSA-N"
"Benzoic acid, 2,6-dimethoxy-, methyl ester","EI","96","6.325",196.07359,NA,NA,NA,NA,NA,"165.0546","C10 H12 O4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.901","1526","10",NA,NA,941,NA,NA,NA,NA,NA,NA,"93.1","644",0.0022311772124328,0.000784925813762906,8.02080332276036e-05,0.00144886804686715,NA,0.0260499502263059,0.0524695005197221,0.0521285491874877,0.163589517125591,0.00519406263427364,0.00418958888006957,0.00388090674292376,0.103636507796402,NA,NA,0.086632425716734,NA,0.0857842510689596,NA,0.0220611023858676,0,0.000197345376783631,0.0220611023858676,0.0857842510689596,0.000197345376783631,1.60416066455207e-05,0,3.88848433630013,"COC1=C(C(=CC=C1)OC)C(=O)OC","XLXVNKPXOIYLLE-UHFFFAOYSA-N"
"Benzoic acid, 4-ethoxy-, ethyl ester","EI","93","6.282",194.0943,NA,NA,NA,NA,NA,"138.03119","C11 H14 O3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.953","1521","1",NA,NA,59927,NA,NA,NA,NA,NA,NA,"95.7","851",0.0443155491034857,0.0163809119036219,0.00976582902452799,0.0308843069926302,0.0129433774990333,0.0114568144047246,0.0194326823130368,0.0124939055270939,0.0139248897255328,0.00700467273039011,0.00694514065480254,0.0119789962128747,0.0275853985134123,0.00535872086029463,NA,0.00598412291659608,NA,0.0163789862224318,NA,0.0102787858145249,0,0.00193509789454912,0.0102787858145249,0.0163789862224318,0.00193509789454912,0.00107174417205893,0,1.5934748050968,"CCOC1=CC=C(C=C1)C(=O)OCC","HRAQMGWTPNOILP-UHFFFAOYSA-N"
"Benzophenone","EI","127","7.593",182.0731,NA,NA,NA,NA,NA,"181.0648","C13 H10 O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.965","1644","9",NA,NA,54522,NA,NA,NA,NA,NA,NA,"97.9","867",0.0298696787868001,0.0281009968988762,0.030142651605643,0.0410995333375951,0.0152108348107116,0.0205928913727759,0.0474129085593061,0.0525486263325146,0.021809458654921,0.0182638808160462,0.0203010019101747,0.0306955585339006,0.0645921086830814,0.0147321223737889,NA,0.0433150930546086,NA,0.0175801868058699,NA,0.011234403381022,0,0.00376719704315895,0.011234403381022,0.0175801868058699,0.00376719704315895,0.0022468806762044,0,1.56485273045898,"C1=CC=C(C=C1)C(=O)C2=CC=CC=C2","RWCCWEUUXYIKHB-UHFFFAOYSA-N"
"Benzothiazole","EI","17","4.25",135.01417,NA,NA,NA,NA,NA,"81.98714","C7 H5 N S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.967",NA,NA,NA,NA,687,NA,NA,NA,NA,NA,NA,"97.3","890",0.0213481828418849,0.153072084585032,0.0305277118240977,0.137250253422343,0.00117421023614127,0.00437654934692615,0.0845709101519047,0.275307364806713,0.0515788729527815,0.229007484411319,0.0767265216190014,0.337123149017694,0.0116561313506091,0.432601102330757,NA,0.0433165018399821,NA,0.00414769310708653,NA,0.148076418579892,0,0.000328119065448126,0.148076418579892,0.00414769310708653,0.000328119065448126,0.000234842047228253,0.143928725472805,0.0280104904404391,"C1=CC=C2C(=C1)N=CS2","IOJUPLGTWVMSFF-UHFFFAOYSA-N"
"Benzothiazole","EI","7","3.889",135.01417,NA,NA,NA,NA,NA,"95.01587","C7 H5 N S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.954",NA,NA,NA,NA,900,NA,NA,NA,NA,NA,NA,"95","867",0.00213186665401591,0.0005814463610186,0.000716271609988978,0.000863051478981927,NA,NA,NA,NA,NA,0.000323025237687666,7.89520122217434e-05,0.000111610137657824,NA,NA,NA,NA,NA,0.00208740618920978,NA,NA,0,8.26635200154834e-05,0,0.00208740618920978,8.26635200154834e-05,1.57904024443487e-05,0,Inf,"C1=CC=C2C(=C1)N=CS2","IOJUPLGTWVMSFF-UHFFFAOYSA-N"
"Benzothiazole","EI","9","3.985",135.01417,NA,NA,NA,NA,NA,"108.00275","C7 H5 N S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.978",NA,NA,NA,NA,12576,NA,NA,NA,NA,NA,NA,"97.4","939",0.282351208888769,0.462720435117606,0.0751845234360834,0.232410297622853,0.0204822131885824,0.0545761337839569,0.357460017871145,0.729110224290978,0.0555325541893519,1.61986576353436,0.107985999551457,0.377962400634678,0.082053463364808,1.19395544317851,NA,0.0422543499138221,NA,0.0949954959681972,NA,0.521688545443874,0,0.00506793508510926,0.521688545443874,0.0949954959681972,0.00506793508510926,0.00409644263771648,0.426693049475677,0.182092355290974,"C1=CC=C2C(=C1)N=CS2","IOJUPLGTWVMSFF-UHFFFAOYSA-N"
"Benzothiazole, 2-(2-hydroxyethylthio)-","EI","301","10.793",179.99415,NA,NA,NA,NA,NA,"52.02918","C9 H9 N O S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.936","1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96.5","752",0.000716528688388723,NA,0.000494530567456163,NA,0.00027064901479385,0.000221657324745659,0.000816480356936618,NA,0.000742042390285068,0.000768918008490752,0.000700373949913631,0.000970279388845052,0.000822852537418037,0.00068934664094588,NA,0.000548559350791243,NA,0.000478212349815119,NA,0.000471757974445896,0,0.000404996139062525,0.000471757974445896,0.000478212349815119,0.000404996139062525,4.43314649491319e-05,0,1.01368153951569,"C1=CC=C2C(=C1)N=C(S2)SCCO","PYNOHHMFQYUSDD-UHFFFAOYSA-N"
"Bis(2-ethylhexyl) phthalate","EI","637","14.374",279.15951,NA,NA,NA,NA,NA,"84.09335","C24 H38 O4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.97","2485","50",NA,NA,20583,NA,NA,NA,NA,NA,NA,"99.4","861",0.00713844293900606,0.04777598105591,0.522180090310854,0.00869583382800157,0.000569289106402882,0.00233190424474794,0.00259544954440736,0.0249194565566578,0.00789807386629859,0.0240260763989505,0.0462698865214222,0.0326314192054183,0.122967600775504,0.0563014915057714,NA,0.102708039490205,NA,0.0171173027398517,NA,NA,0,0.000681367840980958,0,0.0171173027398517,0.000681367840980958,0.000113857821280576,0,Inf,"CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC","BJQHLKABXJIVAM-UHFFFAOYSA-N"
"Butanedioic acid, tetrakis[(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","EI","598","13.972",601.23578,NA,NA,NA,NA,NA,"217.08954","C22 H54 O8 Si6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.901","2413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100","505",0.000403477732971796,4.65605865552762e-05,0.000115430715340046,0.000293490470406663,2.05302199434879e-05,7.18593002532118e-05,3.01499595771711e-05,8.6760883875236e-05,NA,NA,NA,NA,0.019148651308117,0.0174318861487123,NA,0.0254909598965041,NA,0.00159185857899584,NA,0.00470837899887039,0,0,0.00470837899887039,0.00159185857899584,0,4.10604398869757e-06,0.00311652041987455,0.338090578387541,"C[Si](C)(C)OC(=O)C(C(C(=O)O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C","KHESSXXKWXMHCB-UHFFFAOYSA-N"
"Caffeine","EI","245","9.871",194.08018,NA,NA,NA,NA,NA,"55.04163","C8 H10 N4 O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.967","1851","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"98.9","858",0.015759706872789,0.0438992130062434,0.0902265612318967,0.0416837745774011,0.00281639628778635,0.0126936592243749,0.0225675486745567,0.0457070035341671,0.0222414581274042,0.0118191226800166,0.331173319703624,0.165377523398752,0.02567961420469,0.202257293352117,NA,0.243590622575489,NA,0.00468285341798025,NA,0.106999455485811,0,0.00358947047512566,0.106999455485811,0.00468285341798025,0.00358947047512566,0.000563279257557269,0.102316602067831,0.043765207932308,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","RYYVLZVUVIJVGH-UHFFFAOYSA-N"
"Caprylic anhydride","EI","568","13.651",480.18747,NA,NA,NA,NA,NA,"386.23239","C16 H30 O3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.918","2359","481",NA,NA,NA,NA,NA,NA,NA,NA,NA,"95.4","681",0.00146832767206975,0.00202635446492949,0.00131721526957478,0.00173176500671227,0.00133124840974408,0.000842572552774297,0.00182753736832188,0.0010279952680084,NA,0.00122353101779424,0.000886997383967609,0.00133326832278724,0.00187016741655794,0.00144039957547431,NA,0.00108397003809717,NA,0.00083307090023663,NA,0.00150719347401078,0,0,0.00150719347401078,0.00083307090023663,0,0.000166614180047326,0.00067412257377415,0.552729901370759,"CCCCCCCC(=O)OC(=O)CCCCCCC","RAFYDKXYXRZODZ-UHFFFAOYSA-N"
"Carbonic acid, 2-dimethylaminoethyl isobutyl ester","EI","618","14.2",225.14719,NA,NA,NA,NA,NA,"42.03383","C9 H19 N O3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.952","2454",NA,NA,NA,9939,NA,NA,NA,NA,NA,NA,"96.9","823",NA,0.00223562211764534,NA,NA,0.00173192215084669,0.000832906523005723,NA,NA,0.00336691391902491,0.00360067430655754,0.00225231178944068,0.00246798142766352,0.00507208971205245,NA,NA,0.00366407014277353,NA,0.00190359221968426,NA,0.00862912729257893,0,0.0028895308966479,0.00862912729257893,0.00190359221968426,0.0028895308966479,0.000166581304601145,0.00672553507289467,0.220600780952826,"CC(C)COC(=O)OCCN(C)C","VIMOARYGXDOSDU-UHFFFAOYSA-N"
"Carbonic acid, eicosyl vinyl ester","EI","341","11.171",239.18001,NA,NA,NA,NA,NA,"240.18275","C23 H44 O3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.929","1997","500",NA,NA,13926,NA,NA,NA,NA,NA,NA,"97.7","692",0.00138367896336822,0.00475346360659068,0.000929740075103699,0.0082208381658615,0.0027594107775422,0.00142393336951311,0.0113815185610689,0.0118898208934584,0.00183987329452619,0.0104416386745965,0.00117106292749562,0.0118357039746189,0.00350375812677461,0.00894279026898556,NA,0.00155374577608216,NA,0.00179927961080108,NA,0.00635759799475317,0,0.000499177442866833,0.00635759799475317,0.00179927961080108,0.000499177442866833,0.00018594801502074,0.00455831838395209,0.283012485578044,"CCCCCCCCCCCCCCCCCCCCOC(=O)OC=C","ATKGMLUBBPOBFK-UHFFFAOYSA-N"
"Cholesta-3,5-diene","EI","788","15.981",368.34418,NA,NA,NA,NA,NA,"145.1012","C27 H44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.959","2796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99.8","800",0.0120782343781663,0.054644177546379,0.0276935319389056,0.0326263915398033,0.00211144822178195,0.158032642436898,0.0944592458862933,0.113794340681691,0.0128565097283098,0.192215449364241,0.335266591347056,0.343912364177675,0.0176109192214827,0.126398026124562,NA,0.291710829679943,NA,0.0142731409356921,NA,0.205062496357428,0,0.00171995230645549,0.205062496357428,0.0142731409356921,0.00171995230645549,0.000422289644356389,0.190789355421736,0.0696038582833486,"CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC=C4)C)C","RLHIRZFWJBOHHD-HKQCOZBKSA-N"
"Cholesta-3,5-diene","EI","845","16.629",368.34418,NA,NA,NA,NA,NA,"161.13246","C27 H44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.974","2930","19",NA,NA,3995,NA,NA,NA,NA,NA,NA,"99.7","875",0.00493444672547088,0.0291427708990418,0.0134637225128843,0.0149471466014009,0.000870064546702777,0.0813900564788663,0.0498284917118004,0.0585827076876711,0.00715501702065875,0.123676633230094,0.170221874136572,0.199892100161576,0.0126390453431755,0.0829263676607297,NA,0.160450033958952,NA,0.00434728693014439,NA,0.110551646524701,0,0.00143195260272155,0.110551646524701,0.00434728693014439,0.00143195260272155,0.000174012909340555,0.106204359594557,0.0393235837439387,"CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC=C4)C)C","RLHIRZFWJBOHHD-HKQCOZBKSA-N"
"Cholesta-3,5-diene","EI","830","16.451",368.34418,NA,NA,NA,NA,NA,"145.1012","C27 H44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.928","2893",NA,NA,NA,3619,NA,NA,NA,NA,NA,NA,"92.3","793",0.00401883948979748,0.0218961485240893,0.0104126829196608,NA,0.000839243489694884,0.0733822341170915,0.0363699083951833,0.0465144040402497,0.003945407085083,0.106049267089048,0.135649294177447,0.164284521044188,0.00633125743077631,0.0704939957451015,NA,0.123938435067746,NA,0.00555458370501077,NA,0.0875360986418381,0,0.000825037038767868,0.0875360986418381,0.00555458370501077,0.000825037038767868,0.000167848697938977,0.0819815149368273,0.063454777985227,"CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC=C4)C)C","RLHIRZFWJBOHHD-HKQCOZBKSA-N"
